,estimator,coverage,effective sample size,rel. ESS
0,human + LLM (confidence),True,659.1298885439292,1.3182597770878584
1,human + LLM (uniform),True,369.0851923120223,0.7381703846240446
2,human only,True,445.19837059588434,0.8903967411917687
3,LLM only,False,0.0,0.0
4,human + LLM (confidence),True,635.7056726064053,1.2714113452128106
5,human + LLM (uniform),True,465.0279243471119,0.9300558486942238
6,human only,True,543.9047378800385,1.087809475760077
7,LLM only,False,0.0,0.0
8,human + LLM (confidence),True,659.9535819055397,1.3199071638110795
9,human + LLM (uniform),True,462.93400902041884,0.9258680180408377
10,human only,True,524.0861516474149,1.0481723032948298
11,LLM only,True,0.0,0.0
12,human + LLM (confidence),True,616.8727940164375,1.2337455880328752
13,human + LLM (uniform),True,453.9016616857883,0.9078033233715767
14,human only,True,507.12446070847994,1.0142489214169599
15,LLM only,False,0.0,0.0
16,human + LLM (confidence),True,697.6944121654951,1.3953888243309902
17,human + LLM (uniform),True,345.23849641502255,0.6904769928300452
18,human only,True,455.60029110889366,0.9112005822177873
19,LLM only,False,0.0,0.0
20,human + LLM (confidence),True,674.1415120259752,1.3482830240519503
21,human + LLM (uniform),True,413.7329984946371,0.8274659969892743
22,human only,True,489.62724064462526,0.9792544812892505
23,LLM only,False,0.0,0.0
24,human + LLM (confidence),True,630.1063432067187,1.2602126864134375
25,human + LLM (uniform),True,421.4439853061088,0.8428879706122177
26,human only,True,508.3677106873277,1.0167354213746553
27,LLM only,False,0.0,0.0
28,human + LLM (confidence),True,647.0293300594365,1.2940586601188728
29,human + LLM (uniform),True,394.89841588177995,0.7897968317635599
30,human only,False,514.0217316529988,1.0280434633059976
31,LLM only,False,0.0,0.0
32,human + LLM (confidence),True,643.1807575020351,1.2863615150040704
33,human + LLM (uniform),False,411.2633841177121,0.8225267682354243
34,human only,True,527.0687451767419,1.054137490353484
35,LLM only,True,0.0,0.0
36,human + LLM (confidence),True,694.3494365632168,1.3886988731264336
37,human + LLM (uniform),True,453.035176714069,0.906070353428138
38,human only,True,488.7539130988274,0.9775078261976549
39,LLM only,False,0.0,0.0
40,human + LLM (confidence),True,641.0920526512851,1.2821841053025702
41,human + LLM (uniform),True,489.3379857135305,0.978675971427061
42,human only,True,529.9148403182743,1.0598296806365486
43,LLM only,False,0.0,0.0
44,human + LLM (confidence),False,587.1460116162127,1.1742920232324254
45,human + LLM (uniform),True,422.90936170207755,0.8458187234041551
46,human only,True,509.5156207447841,1.0190312414895681
47,LLM only,True,0.0,0.0
48,human + LLM (confidence),True,741.3228568192071,1.4826457136384141
49,human + LLM (uniform),False,392.46165531371645,0.7849233106274329
50,human only,True,502.6785560134612,1.0053571120269225
51,LLM only,True,0.0,0.0
52,human + LLM (confidence),True,669.2883325311446,1.3385766650622892
53,human + LLM (uniform),True,459.6463223802518,0.9192926447605035
54,human only,True,569.4009303885356,1.1388018607770711
55,LLM only,False,0.0,0.0
56,human + LLM (confidence),True,652.9300900878769,1.305860180175754
57,human + LLM (uniform),True,456.5680672768616,0.9131361345537232
58,human only,True,510.3804283139902,1.0207608566279804
59,LLM only,False,0.0,0.0
60,human + LLM (confidence),True,628.9213809649344,1.2578427619298689
